Product,Purchases,"Weight (g)","Average Delivery Time (Days)","Size (cm3)"
03894c9a40bf32b84a349ef0ddfccc1d,1,20300,17,122760
038967227fb1bc9b30d6e1c81fa2d2be,2,200,11,704
038c0dd7c1e48a1588f8919a0c305727,1,100,8,3900
03940e741e919e2c258e177d875f8423,1,5400,13,14664
03973c594aba6474ba73ab090dcdc4e2,1,300,3,3211
03973c875a4653e663aede2c46a957f6,1,2550,21,14000
039e946aff78252a2e83b8fa1adf837d,1,2100,18,29568
03a20f79e4c056b48ce29b3e30beb0fb,12,700,13,13200
03aad9707028422f38b0563410912177,1,1500,6,12540
03ac940e93916395ea0483161cc84d5c,1,6800,27,36652
03b29ca1beec2e03e15a3b980c1505ed,5,100,10,1386
03b63c5fc16691530586ae020c345514,2,7150,17,42750
03ba2b6c24374d16022585b6b1b385e1,1,7450,13,8360
03bb06cda40712fb8473f7962fb7d198,9,2000,14,10098
03bb24d19ea7449ce170e0888d830707,3,910,17,6720
03c0275df9996ed2720b28488c7946d4,5,300,6,1650
03c14a3d479e334e87ee5baf2563811d,1,1500,17,9680
03c1fa561b6e1d70f9fa22ab1f08c762,1,8000,19,42075
03c526c6224e8b74620b3b1ff4d0f3ad,1,3400,11,12240
03c94210a8223f2f0c811f6783fe3d22,2,3450,15,20800
03ccf3bdaa33497fa04d1e2f746a4555,1,800,6,18900
03d10117bf5dbd1e4f194566be73de5a,3,2350,37,23625
03d19e503abb1698d26d630c0017b11e,2,14100,3,80724
03d4805d42e229c0fb34e5eb7fee281f,1,1525,8,21420
03d7ad0ce97624c931b3abde02b5d819,4,249,12,3705
03d817e5e392e78674ed0bd8195f9159,1,1350,14,4761
03da3203e7fba42baf48e3d87cd4b75b,1,300,14,3000
03e4e6709b7d6415746769c0bc3e9131,15,3890,13,36288
03e606af3a694d55bf9abce7f5b07c42,1,700,6,4800
03e7d29d9988a30815f1f20b6549881f,1,700,17,8712
03e931f387c2dd5b006aecdb12515b2e,16,650,13,2560
03e9fcb7adffd8c9e14285c979ea59c9,2,700,8,4998
03ed331c2c9bb4cd5c3d986928bc8d9c,4,600,13,1792
03f02ee5e8fd233d41dcfe8ad911cf7e,1,6400,6,27000
03feb64db1d0ea0aaad178536a2d0640,1,3100,26,36000
03fed41c5e9067007d852ff83d602753,4,19650,9,125400
04014f5d30de9dbe77b421f63985b5ef,1,5550,7,57750
040b8534cb74ddaae70c21541f449630,1,13100,8,74800
040fe1cdb263eb2c9b1322875b0afcb7,3,2303,3,8970
041022915a950ec95b761b690ddb6b24,5,1450,17,29760
04120fb9b3f90600e5ae1f2a2cde53e3,1,500,8,4784
0414ce6ba3643b59fd1e5c8e146c1d8d,2,2700,10,33540
04162d7f092b675a184e76e91fd521d4,1,400,22,2240
041644fcb6426ab2a7c992fac010771a,1,300,4,4375
0417855683de23ba1e20e8a358a5ac7c,2,1475,10,21420
0419e76e19f81672eb13b6a8bd19a5cb,1,14600,12,67280
041b5d4393ea83147e2a07e55cd5359c,1,3080,18,16169
042426e17752f5d722a5b80940edc915,1,2400,28,7200
0424d4d1508370eb771126734ec9740e,2,2100,11,27216
0432203d03868bfe5fdbb86fb2148474,3,7003,4,71760
043424c9047266b778d9f440c63dc349,1,9075,7,13872
0437850bd55b9b2b9cf104b59a611666,5,350,10,720
043d7f9943fc2e97d21728cff9c608f2,1,1700,26,7803
0442663b51251c398df7f53c29e29812,3,6600,13,39375
04433a8021475a2002663f94203c88da,7,1111,8,4060
0449db5eede617c5fd413071d582f038,2,5900,12,42320
0449efdb5b6a5d301b098972abd1749e,2,375,7,4032
044b06b901539ec1ac136565a97d0fec,3,1979,8,17550
044de1dc695094f06e9eca6c19921f20,2,1300,4,10500
0453f63a85b66c3950381599dbbfb2ec,1,231,15,1440
04565ebccdd3c4acc43789823458d6a8,1,400,16,13125
045c0f3faa3d81ff1af071e0811b2711,5,200,16,2112
045da764883d50dc071cc70c81226cbc,5,213,12,3420
04601b648d7d2dcae6e285a41e276a3f,6,1775,17,13671
046cf43a5b63303b3c3c4ba076d1d732,3,350,17,2520
046eee903d62294ffad4e38ae6aa730e,7,9325,11,25200
047b85649c33e9cbf34b2ccf8d41d622,3,5650,18,34800
047c9a28e0da299843d9f67d99959442,2,3000,10,33660
0485eb91cf4786a456d0b61ef9d9183e,5,100,22,1782
048bb098a0e194ddc3d0287b954bc9d8,1,950,32,5100
048c45eaa9b885243959f59ddf2b21f4,1,600,13,6750
04913106077ff97c89fa5e6b289fa25c,1,2100,9,7776
04939dcb29e2a26106610d8e1ef03b98,1,600,18,9936
049469901143a0f4ead566611fda0544,1,375,15,7728
0496a7015a17628712e8720db133092b,5,1075,20,4725
049ac5dce8536884a652ce73c58022ab,5,250,7,3120
049e64366e5301baa9060eef6b10f217,1,400,3,3380
04a2ef44f3ea03a72be6f1f99ee0bfe6,1,150,11,1782
04a3191f211edc97716020026d05d260,2,950,9,34104
04a58e66cae7d954a87cb7fbb67b204c,1,6600,12,42900
04a67e69edfb208f784da30294f69c5b,4,1350,14,8424
04abe952a7292c9914a0ddade6371114,1,25000,20,270480
04b2173a311a1fe1a8c90a59c0a0f474,1,700,7,14000
04b48e86a968cfe620da1cab5c7556ae,5,630,12,3780
04bbe69bca409d1d1fdd812267c89302,1,900,14,10692
04bd5aedb2f07b8078ef7dcbfb79db00,1,1600,12,7644
04be6baed9b1c67197a4b2dd2f5b637c,3,1500,14,3000
04c200c7067838a36677c2cb65f90987,5,375,9,2880
04c31b0da644f1782603183f8fba274c,1,225,7,1872
04c4182bda52366f3c4b8817ddbcd98e,1,250,7,3840
04c4239553c71aafb3b2b5f74f165210,1,150,13,960
04c48a5fe31aedc4ef3896c005fd483c,8,449,13,3724
